Sales: 1638.0, Date: 2018-02-06, Region: north
Sales: 1647.0, Date: 2018-02-06, Region: south
Sales: 1731.0, Date: 2018-02-06, Region: east
Sales: 1557.0, Date: 2018-02-06, Region: west
Sales: 1587.0, Date: 2018-02-07, Region: north
Sales: 1698.0, Date: 2018-02-07, Region: south
Sales: 1542.0, Date: 2018-02-07, Region: east
Sales: 1635.0, Date: 2018-02-07, Region: west
Sales: 1602.0, Date: 2018-02-08, Region: north
Sales: 1536.0, Date: 2018-02-08, Region: south
Sales: 1503.0, Date: 2018-02-08, Region: east
Sales: 1701.0, Date: 2018-02-08, Region: west
Sales: 1758.0, Date: 2018-02-09, Region: north
Sales: 1662.0, Date: 2018-02-09, Region: south
Sales: 1782.0, Date: 2018-02-09, Region: east
Sales: 1515.0, Date: 2018-02-09, Region: west
Sales: 1662.0, Date: 2018-02-10, Region: north
Sales: 1557.0, Date: 2018-02-10, Region: south
Sales: 1650.0, Date: 2018-02-10, Region: east
Sales: 1674.0, Date: 2018-02-10, Region: west
Sales: 1554.0, Date: 2018-02-11, Region: north
Sales: 1587.0, Date: 2018-02-11, Region: south
Sales: 1563.0, Date: 2018-02-11, Region: east
Sales: 1764.0, Date: 2018-02-11, Region: west
Sales: 1758.0, Date: 2018-02-12, Region: north
Sales: 1608.0, Date: 2018-02-12, Region: south
Sales: 1569.0, Date: 2018-02-12, Region: east
Sales: 1653.0, Date: 2018-02-12, Region: west
Sales: 1572.0, Date: 2018-02-13, Region: north
Sales: 1716.0, Date: 2018-02-13, Region: south
Sales: 1773.0, Date: 2018-02-13, Region: east
Sales: 1725.0, Date: 2018-02-13, Region: west
Sales: 1767.0, Date: 2018-02-14, Region: north
Sales: 1710.0, Date: 2018-02-14, Region: south
Sales: 1698.0, Date: 2018-02-14, Region: east
Sales: 1512.0, Date: 2018-02-14, Region: west
Sales: 1746.0, Date: 2018-02-15, Region: north
Sales: 1734.0, Date: 2018-02-15, Region: south
Sales: 1524.0, Date: 2018-02-15, Region: east
Sales: 1614.0, Date: 2018-02-15, Region: west
Sales: 1578.0, Date: 2018-02-16, Region: north
Sales: 1782.0, Date: 2018-02-16, Region: south
Sales: 1527.0, Date: 2018-02-16, Region: east
Sales: 1752.0, Date: 2018-02-16, Region: west
Sales: 1785.0, Date: 2018-02-17, Region: north
Sales: 1689.0, Date: 2018-02-17, Region: south
Sales: 1641.0, Date: 2018-02-17, Region: east
Sales: 1575.0, Date: 2018-02-17, Region: west
Sales: 1644.0, Date: 2018-02-18, Region: north
Sales: 1674.0, Date: 2018-02-18, Region: south
Sales: 1551.0, Date: 2018-02-18, Region: east
Sales: 1737.0, Date: 2018-02-18, Region: west
Sales: 1563.0, Date: 2018-02-19, Region: north
Sales: 1647.0, Date: 2018-02-19, Region: south
Sales: 1605.0, Date: 2018-02-19, Region: east
Sales: 1539.0, Date: 2018-02-19, Region: west
Sales: 1698.0, Date: 2018-02-20, Region: north
Sales: 1575.0, Date: 2018-02-20, Region: south
Sales: 1500.0, Date: 2018-02-20, Region: east
Sales: 1551.0, Date: 2018-02-20, Region: west
Sales: 1737.0, Date: 2018-02-21, Region: north
Sales: 1542.0, Date: 2018-02-21, Region: south
Sales: 1665.0, Date: 2018-02-21, Region: east
Sales: 1548.0, Date: 2018-02-21, Region: west
Sales: 1635.0, Date: 2018-02-22, Region: north
Sales: 1632.0, Date: 2018-02-22, Region: south
Sales: 1668.0, Date: 2018-02-22, Region: east
Sales: 1764.0, Date: 2018-02-22, Region: west
Sales: 1533.0, Date: 2018-02-23, Region: north
Sales: 1563.0, Date: 2018-02-23, Region: south
Sales: 1641.0, Date: 2018-02-23, Region: east
Sales: 1773.0, Date: 2018-02-23, Region: west
Sales: 1629.0, Date: 2018-02-24, Region: north
Sales: 1698.0, Date: 2018-02-24, Region: south
Sales: 1725.0, Date: 2018-02-24, Region: east
Sales: 1722.0, Date: 2018-02-24, Region: west
Sales: 1596.0, Date: 2018-02-25, Region: north
Sales: 1710.0, Date: 2018-02-25, Region: south
Sales: 1635.0, Date: 2018-02-25, Region: east
Sales: 1659.0, Date: 2018-02-25, Region: west
Sales: 1686.0, Date: 2018-02-26, Region: north
Sales: 1533.0, Date: 2018-02-26, Region: south
Sales: 1524.0, Date: 2018-02-26, Region: east
Sales: 1530.0, Date: 2018-02-26, Region: west
Sales: 1665.0, Date: 2018-02-27, Region: north
Sales: 1695.0, Date: 2018-02-27, Region: south
Sales: 1578.0, Date: 2018-02-27, Region: east
Sales: 1620.0, Date: 2018-02-27, Region: west
Sales: 1767.0, Date: 2018-02-28, Region: north
Sales: 1593.0, Date: 2018-02-28, Region: south
Sales: 1743.0, Date: 2018-02-28, Region: east
Sales: 1557.0, Date: 2018-02-28, Region: west
Sales: 1668.0, Date: 2018-03-01, Region: north
Sales: 1782.0, Date: 2018-03-01, Region: south
Sales: 1527.0, Date: 2018-03-01, Region: east
Sales: 1668.0, Date: 2018-03-01, Region: west
Sales: 1635.0, Date: 2018-03-02, Region: north
Sales: 1569.0, Date: 2018-03-02, Region: south
Sales: 1746.0, Date: 2018-03-02, Region: east
Sales: 1773.0, Date: 2018-03-02, Region: west
Sales: 1539.0, Date: 2018-03-03, Region: north
Sales: 1500.0, Date: 2018-03-03, Region: south
Sales: 1569.0, Date: 2018-03-03, Region: east
Sales: 1557.0, Date: 2018-03-03, Region: west
Sales: 1773.0, Date: 2018-03-04, Region: north
Sales: 1644.0, Date: 2018-03-04, Region: south
Sales: 1614.0, Date: 2018-03-04, Region: east
Sales: 1674.0, Date: 2018-03-04, Region: west
Sales: 1533.0, Date: 2018-03-05, Region: north
Sales: 1653.0, Date: 2018-03-05, Region: south
Sales: 1557.0, Date: 2018-03-05, Region: east
Sales: 1746.0, Date: 2018-03-05, Region: west
Sales: 1719.0, Date: 2018-03-06, Region: north
Sales: 1719.0, Date: 2018-03-06, Region: south
Sales: 1659.0, Date: 2018-03-06, Region: east
Sales: 1800.0, Date: 2018-03-06, Region: west
Sales: 1581.0, Date: 2018-03-07, Region: north
Sales: 1602.0, Date: 2018-03-07, Region: south
Sales: 1608.0, Date: 2018-03-07, Region: east
Sales: 1650.0, Date: 2018-03-07, Region: west
Sales: 1611.0, Date: 2018-03-08, Region: north
Sales: 1530.0, Date: 2018-03-08, Region: south
Sales: 1698.0, Date: 2018-03-08, Region: east
Sales: 1668.0, Date: 2018-03-08, Region: west
Sales: 1746.0, Date: 2018-03-09, Region: north
Sales: 1524.0, Date: 2018-03-09, Region: south
Sales: 1506.0, Date: 2018-03-09, Region: east
Sales: 1704.0, Date: 2018-03-09, Region: west
Sales: 1788.0, Date: 2018-03-10, Region: north
Sales: 1719.0, Date: 2018-03-10, Region: south
Sales: 1746.0, Date: 2018-03-10, Region: east
Sales: 1584.0, Date: 2018-03-10, Region: west
Sales: 1692.0, Date: 2018-03-11, Region: north
Sales: 1635.0, Date: 2018-03-11, Region: south
Sales: 1608.0, Date: 2018-03-11, Region: east
Sales: 1590.0, Date: 2018-03-11, Region: west
Sales: 1599.0, Date: 2018-03-12, Region: north
Sales: 1518.0, Date: 2018-03-12, Region: south
Sales: 1602.0, Date: 2018-03-12, Region: east
Sales: 1659.0, Date: 2018-03-12, Region: west
Sales: 1644.0, Date: 2018-03-13, Region: north
Sales: 1611.0, Date: 2018-03-13, Region: south
Sales: 1554.0, Date: 2018-03-13, Region: east
Sales: 1515.0, Date: 2018-03-13, Region: west
Sales: 1515.0, Date: 2018-03-14, Region: north
Sales: 1632.0, Date: 2018-03-14, Region: south
Sales: 1512.0, Date: 2018-03-14, Region: east
Sales: 1776.0, Date: 2018-03-14, Region: west
Sales: 1677.0, Date: 2018-03-15, Region: north
Sales: 1503.0, Date: 2018-03-15, Region: south
Sales: 1605.0, Date: 2018-03-15, Region: east
Sales: 1647.0, Date: 2018-03-15, Region: west
Sales: 1506.0, Date: 2018-03-16, Region: north
Sales: 1737.0, Date: 2018-03-16, Region: south
Sales: 1590.0, Date: 2018-03-16, Region: east
Sales: 1767.0, Date: 2018-03-16, Region: west
Sales: 1593.0, Date: 2018-03-17, Region: north
Sales: 1614.0, Date: 2018-03-17, Region: south
Sales: 1710.0, Date: 2018-03-17, Region: east
Sales: 1662.0, Date: 2018-03-17, Region: west
Sales: 1650.0, Date: 2018-03-18, Region: north
Sales: 1755.0, Date: 2018-03-18, Region: south
Sales: 1698.0, Date: 2018-03-18, Region: east
Sales: 1659.0, Date: 2018-03-18, Region: west
Sales: 1683.0, Date: 2018-03-19, Region: north
Sales: 1509.0, Date: 2018-03-19, Region: south
Sales: 1500.0, Date: 2018-03-19, Region: east
Sales: 1545.0, Date: 2018-03-19, Region: west
Sales: 1647.0, Date: 2018-03-20, Region: north
Sales: 1614.0, Date: 2018-03-20, Region: south
Sales: 1629.0, Date: 2018-03-20, Region: east
Sales: 1677.0, Date: 2018-03-20, Region: west
Sales: 1743.0, Date: 2018-03-21, Region: north
Sales: 1569.0, Date: 2018-03-21, Region: south
Sales: 1593.0, Date: 2018-03-21, Region: east
Sales: 1578.0, Date: 2018-03-21, Region: west
Sales: 1578.0, Date: 2018-03-22, Region: north
Sales: 1581.0, Date: 2018-03-22, Region: south
Sales: 1653.0, Date: 2018-03-22, Region: east
Sales: 1578.0, Date: 2018-03-22, Region: west
Sales: 1761.0, Date: 2018-03-23, Region: north
Sales: 1611.0, Date: 2018-03-23, Region: south
Sales: 1749.0, Date: 2018-03-23, Region: east
Sales: 1764.0, Date: 2018-03-23, Region: west
Sales: 1716.0, Date: 2018-03-24, Region: north
Sales: 1710.0, Date: 2018-03-24, Region: south
Sales: 1800.0, Date: 2018-03-24, Region: east
Sales: 1728.0, Date: 2018-03-24, Region: west
Sales: 1743.0, Date: 2018-03-25, Region: north
Sales: 1764.0, Date: 2018-03-25, Region: south
Sales: 1740.0, Date: 2018-03-25, Region: east
Sales: 1707.0, Date: 2018-03-25, Region: west
Sales: 1509.0, Date: 2018-03-26, Region: north
Sales: 1641.0, Date: 2018-03-26, Region: south
Sales: 1533.0, Date: 2018-03-26, Region: east
Sales: 1752.0, Date: 2018-03-26, Region: west
Sales: 1767.0, Date: 2018-03-27, Region: north
Sales: 1590.0, Date: 2018-03-27, Region: south
Sales: 1533.0, Date: 2018-03-27, Region: east
Sales: 1704.0, Date: 2018-03-27, Region: west
Sales: 1671.0, Date: 2018-03-28, Region: north
Sales: 1527.0, Date: 2018-03-28, Region: south
Sales: 1524.0, Date: 2018-03-28, Region: east
Sales: 1629.0, Date: 2018-03-28, Region: west
Sales: 1722.0, Date: 2018-03-29, Region: north
Sales: 1557.0, Date: 2018-03-29, Region: south
Sales: 1686.0, Date: 2018-03-29, Region: east
Sales: 1779.0, Date: 2018-03-29, Region: west
Sales: 1734.0, Date: 2018-03-30, Region: north
Sales: 1776.0, Date: 2018-03-30, Region: south
Sales: 1554.0, Date: 2018-03-30, Region: east
Sales: 1725.0, Date: 2018-03-30, Region: west
Sales: 1617.0, Date: 2018-03-31, Region: north
Sales: 1635.0, Date: 2018-03-31, Region: south
Sales: 1605.0, Date: 2018-03-31, Region: east
Sales: 1785.0, Date: 2018-03-31, Region: west
Sales: 1761.0, Date: 2018-04-01, Region: north
Sales: 1530.0, Date: 2018-04-01, Region: south
Sales: 1710.0, Date: 2018-04-01, Region: east
Sales: 1506.0, Date: 2018-04-01, Region: west
Sales: 1509.0, Date: 2018-04-02, Region: north
Sales: 1797.0, Date: 2018-04-02, Region: south
Sales: 1662.0, Date: 2018-04-02, Region: east
Sales: 1530.0, Date: 2018-04-02, Region: west
Sales: 1767.0, Date: 2018-04-03, Region: north
Sales: 1767.0, Date: 2018-04-03, Region: south
Sales: 1614.0, Date: 2018-04-03, Region: east
Sales: 1533.0, Date: 2018-04-03, Region: west
Sales: 1767.0, Date: 2018-04-04, Region: north
Sales: 1761.0, Date: 2018-04-04, Region: south
Sales: 1566.0, Date: 2018-04-04, Region: east
Sales: 1623.0, Date: 2018-04-04, Region: west
Sales: 1506.0, Date: 2018-04-05, Region: north
Sales: 1512.0, Date: 2018-04-05, Region: south
Sales: 1692.0, Date: 2018-04-05, Region: east
Sales: 1749.0, Date: 2018-04-05, Region: west
Sales: 1701.0, Date: 2018-04-06, Region: north
Sales: 1752.0, Date: 2018-04-06, Region: south
Sales: 1632.0, Date: 2018-04-06, Region: east
Sales: 1515.0, Date: 2018-04-06, Region: west
Sales: 1725.0, Date: 2018-04-07, Region: north
Sales: 1611.0, Date: 2018-04-07, Region: south
Sales: 1788.0, Date: 2018-04-07, Region: east
Sales: 1617.0, Date: 2018-04-07, Region: west
Sales: 1656.0, Date: 2018-04-08, Region: north
Sales: 1674.0, Date: 2018-04-08, Region: south
Sales: 1557.0, Date: 2018-04-08, Region: east
Sales: 1701.0, Date: 2018-04-08, Region: west
Sales: 1686.0, Date: 2018-04-09, Region: north
Sales: 1782.0, Date: 2018-04-09, Region: south
Sales: 1641.0, Date: 2018-04-09, Region: east
Sales: 1557.0, Date: 2018-04-09, Region: west
Sales: 1686.0, Date: 2018-04-10, Region: north
Sales: 1527.0, Date: 2018-04-10, Region: south
Sales: 1698.0, Date: 2018-04-10, Region: east
Sales: 1728.0, Date: 2018-04-10, Region: west
Sales: 1671.0, Date: 2018-04-11, Region: north
Sales: 1527.0, Date: 2018-04-11, Region: south
Sales: 1581.0, Date: 2018-04-11, Region: east
Sales: 1764.0, Date: 2018-04-11, Region: west
Sales: 1653.0, Date: 2018-04-12, Region: north
Sales: 1626.0, Date: 2018-04-12, Region: south
Sales: 1782.0, Date: 2018-04-12, Region: east
Sales: 1749.0, Date: 2018-04-12, Region: west
Sales: 1539.0, Date: 2018-04-13, Region: north
Sales: 1752.0, Date: 2018-04-13, Region: south
Sales: 1674.0, Date: 2018-04-13, Region: east
Sales: 1749.0, Date: 2018-04-13, Region: west
Sales: 1569.0, Date: 2018-04-14, Region: north
Sales: 1794.0, Date: 2018-04-14, Region: south
Sales: 1674.0, Date: 2018-04-14, Region: east
Sales: 1638.0, Date: 2018-04-14, Region: west
Sales: 1515.0, Date: 2018-04-15, Region: north
Sales: 1527.0, Date: 2018-04-15, Region: south
Sales: 1602.0, Date: 2018-04-15, Region: east
Sales: 1653.0, Date: 2018-04-15, Region: west
Sales: 1602.0, Date: 2018-04-16, Region: north
Sales: 1707.0, Date: 2018-04-16, Region: south
Sales: 1548.0, Date: 2018-04-16, Region: east
Sales: 1527.0, Date: 2018-04-16, Region: west
Sales: 1599.0, Date: 2018-04-17, Region: north
Sales: 1728.0, Date: 2018-04-17, Region: south
Sales: 1704.0, Date: 2018-04-17, Region: east
Sales: 1539.0, Date: 2018-04-17, Region: west
Sales: 1545.0, Date: 2018-04-18, Region: north
Sales: 1797.0, Date: 2018-04-18, Region: south
Sales: 1515.0, Date: 2018-04-18, Region: east
Sales: 1719.0, Date: 2018-04-18, Region: west
Sales: 1713.0, Date: 2018-04-19, Region: north
Sales: 1674.0, Date: 2018-04-19, Region: south
Sales: 1767.0, Date: 2018-04-19, Region: east
Sales: 1767.0, Date: 2018-04-19, Region: west
Sales: 1668.0, Date: 2018-04-20, Region: north
Sales: 1620.0, Date: 2018-04-20, Region: south
Sales: 1677.0, Date: 2018-04-20, Region: east
Sales: 1509.0, Date: 2018-04-20, Region: west
Sales: 1683.0, Date: 2018-04-21, Region: north
Sales: 1743.0, Date: 2018-04-21, Region: south
Sales: 1644.0, Date: 2018-04-21, Region: east
Sales: 1578.0, Date: 2018-04-21, Region: west
Sales: 1572.0, Date: 2018-04-22, Region: north
Sales: 1545.0, Date: 2018-04-22, Region: south
Sales: 1557.0, Date: 2018-04-22, Region: east
Sales: 1626.0, Date: 2018-04-22, Region: west
Sales: 1710.0, Date: 2018-04-23, Region: north
Sales: 1659.0, Date: 2018-04-23, Region: south
Sales: 1665.0, Date: 2018-04-23, Region: east
Sales: 1521.0, Date: 2018-04-23, Region: west
Sales: 1503.0, Date: 2018-04-24, Region: north
Sales: 1650.0, Date: 2018-04-24, Region: south
Sales: 1689.0, Date: 2018-04-24, Region: east
Sales: 1743.0, Date: 2018-04-24, Region: west
Sales: 1623.0, Date: 2018-04-25, Region: north
Sales: 1503.0, Date: 2018-04-25, Region: south
Sales: 1758.0, Date: 2018-04-25, Region: east
Sales: 1557.0, Date: 2018-04-25, Region: west
Sales: 1713.0, Date: 2018-04-26, Region: north
Sales: 1734.0, Date: 2018-04-26, Region: south
Sales: 1740.0, Date: 2018-04-26, Region: east
Sales: 1563.0, Date: 2018-04-26, Region: west
Sales: 1716.0, Date: 2018-04-27, Region: north
Sales: 1791.0, Date: 2018-04-27, Region: south
Sales: 1674.0, Date: 2018-04-27, Region: east
Sales: 1716.0, Date: 2018-04-27, Region: west
Sales: 1632.0, Date: 2018-04-28, Region: north
Sales: 1641.0, Date: 2018-04-28, Region: south
Sales: 1584.0, Date: 2018-04-28, Region: east
Sales: 1590.0, Date: 2018-04-28, Region: west
Sales: 1713.0, Date: 2018-04-29, Region: north
Sales: 1593.0, Date: 2018-04-29, Region: south
Sales: 1740.0, Date: 2018-04-29, Region: east
Sales: 1638.0, Date: 2018-04-29, Region: west
Sales: 1653.0, Date: 2018-04-30, Region: north
Sales: 1590.0, Date: 2018-04-30, Region: south
Sales: 1593.0, Date: 2018-04-30, Region: east
Sales: 1602.0, Date: 2018-04-30, Region: west
Sales: 1785.0, Date: 2018-05-01, Region: north
Sales: 1764.0, Date: 2018-05-01, Region: south
Sales: 1506.0, Date: 2018-05-01, Region: east
Sales: 1536.0, Date: 2018-05-01, Region: west
Sales: 1623.0, Date: 2018-05-02, Region: north
Sales: 1674.0, Date: 2018-05-02, Region: south
Sales: 1791.0, Date: 2018-05-02, Region: east
Sales: 1653.0, Date: 2018-05-02, Region: west
Sales: 1785.0, Date: 2018-05-03, Region: north
Sales: 1569.0, Date: 2018-05-03, Region: south
Sales: 1500.0, Date: 2018-05-03, Region: east
Sales: 1770.0, Date: 2018-05-03, Region: west
Sales: 1653.0, Date: 2018-05-04, Region: north
Sales: 1590.0, Date: 2018-05-04, Region: south
